personId,中文名,职业,出生日期,外文名,国籍,出生地,代表作品,星座,主要成就,身高,:LABEL
p16,克里斯蒂安·贝尔,演员,1974年1月30日,Christian Bale,英国,"英国,威尔士,彭布罗克郡,哈弗福德韦斯特",蝙蝠侠黑暗骑士三部曲、斗士、金陵十三钗、美国骗局、大空头、副总统,水瓶座,第83届奥斯卡金像奖最佳男配角、第68届金球奖最佳男配角、第17届美国演员工会奖最佳男配角,183cm,actor
p17,贾登·史密斯,演员、歌手,1998年7月8日,Jaden Smith,美国,美国加州洛杉矶,当幸福来敲门、功夫梦、地球停转之日,巨蟹座,1座MTV电影奖、1座土星奖,成长中,actor
p18,李大为,导演、摄影,1970年7月29日,null,中国,null,金粉世家、走着瞧,null,第27届中国电影金鸡奖导演处女作奖,null,actor
p19,理查·基尔,演员，导演,1949年8月31日,Richard Tiffany Gere,美国,美国，宾夕法尼亚州，费城,《一级恐惧》，《忠犬八公的故事》,处女座,第60届美国电影电视金球奖电影类-音乐喜剧类最佳男主角奖,180cm,actor
p20,葛优,演员,1957年4月19日,Ge You,中国,北京,编辑部的故事、活着、甲方乙方、不见不散、没完没了、大腕、手机、夜宴、非诚勿扰、让子弹飞,null,第47届戛纳国际电影节最佳男演员、第14届中国电影华表奖优秀男演员、第13届中国电影金鸡奖最佳男主角、三届大众电影百花奖最佳男主角、三届华语电影传媒大奖最佳男主角、、三届北京大学生电影节最受欢迎男演员、第15届大众电影百花奖最佳男配角、第18届北京大学生电影节最佳男演员、第03届中国电影导演协会最佳男主角、第10届中国电视金鹰奖最佳男主角等、北京市慈善协会形象大使,null,actor
p21,邱岳峰,原上海电影译制片厂配音演员,1922年5月10日,null,中华人民共和国,呼伦贝尔（原籍福建省福州市）,参与配音：《简爱》《红菱艳》《警察与小偷》《凡尔杜先生》,null,中国最杰出的配音表演艺术家之一,null,actor
p22,金燕玲,演员、歌手,1954年11月30日,Elaine Jin,英国,中国台湾,地下情、人民英雄、独立时代、 宋家皇朝、京城81号等,射手座,四届香港电影金像奖最佳女配角、两届台湾电影金马奖最佳女配角,null,actor
p23,埃迪·艾伯特,电影演员,1906,null,美国,伊利诺斯州罗克艾兰市,null,null,null,null,actor
p24,蒂姆·罗宾斯,编剧、导演、演员,1958-10-16,Tim Robbins,美国,美国加州西柯汶纳,肖申克的救赎、神秘河、超级大玩家,null,第76届奥斯卡金像奖最佳男配角、第61届美国金球奖最佳男配角、第50届美国金球奖喜剧类最佳男主角、第45届戛纳电影节最佳男演员,196cm,actor
p25,阿尔·帕西诺,演员，编剧，导演，制片,1940年4月25日,Al Pacino,美国,美国纽约曼哈顿,教父系列、闻香识女人、热天午后、疤面煞星、情枭的黎明、盗火线、忠奸人、魔鬼代言人,金牛座,第65届奥斯卡奖最佳男主角、第51届威尼斯电影节终身成就金狮奖、第31届金球奖最佳男主角、第50届金球奖最佳男主角、第61届金球奖电视电影最佳男主角、、第68届金球奖电视电影最佳男主角、第56届艾美奖电视电影最佳男主角、第62届艾美奖电视电影最佳男主角、美国电影学会终身成就奖、罗马国际电影节终身成就奖、1969年托尼奖最佳男配角、1977年托尼奖最佳男主角,170cm,actor
p26,牛犇,演员,1935年,null,中国,天津,圣城记、火葬、海誓,null,一届中国电影金鸡奖最佳男配角、三届大众电影百花奖最佳男配角、第31届中国电影金鸡奖终身成就奖,null,actor
p27,Behzad Rafi,"副导演/助理导演,演员",null,Behzad Rafi,null,null,null,null,null,null,actor
p28,本·金斯利,演员,1943年12月31日,Ben Kingsley,英国,英国约克郡斯奈顿,《甘地》，《辛德勒的名单》,魔羯座,第55届奥斯卡最佳男主角奖第64届奥斯卡奖最佳男配角提名、第74届奥斯卡奖最佳男配角提名,173cm,actor
p29,琼·艾伦,演员,1956年08月20日,Joan Allen,美国,伊利诺斯州,《尼克松》，《死亡飞车》,null,null,null,actor
p30,凯瑞-安·莫斯,演员,1967年8月21日,Carrie-Anne Moss,加拿大,加拿大温哥华,《黑客帝国》、《战略特勤组》,狮子座,null,null,actor
p31,简·林奇,演员,1960年7月14日,Jane Marie Lynch,美国,美国伊利诺伊州多尔顿,《欢乐合唱团》、《无敌破坏王》，里约大冒险,巨蟹座,68届美国金球奖最佳女配角,6' (1.83 m) 源自IMDb,actor
p32,朴信惠,演员,1990年2月18日,박신혜(韩)、Park Shin Hye(罗马)、パク-シネ(日),韩国,韩国光州,原来是美男啊、继承者们、匹诺曹、Doctors,水瓶座,韩国大众文化艺术奖 总理表彰、百想艺术大赏 女子人气赏五连冠、SBS演技大赏 最优秀女演员奖,168cm,actor
p33,克林特·伊斯特伍德,演员、导演、制片人,1930年5月31日,Clint Eastwood,美国,加利福尼亚州旧金山,镖客三部曲、不可饶恕、百万美元宝贝、廊桥遗梦、美国狙击手、完美的世界、神秘河,双子座,第65届奥斯卡金像奖最佳导演奖、第77届奥斯卡金像奖最佳导演奖、美国电影学会终身成就奖、戛纳国际电影节终身成就奖、威尼斯国际电影节终身成就奖,193cm,actor
p34,金艺芬,演员,null,null,null,null,《爱，回家》,null,null,null,actor
p35,克拉克·盖博,演员,1901年2月1日,Clark Gable,美国,美国俄亥俄州,乱世佳人、一夜风流,水瓶座,奥斯卡最佳男主角奖,185cm,actor
p36,布拉德·皮特,演员/制片,1963年12月18日,Brad Pitt,美国,美国俄克拉荷马州肖尼市,燃情岁月，七宗罪，搏击俱乐部，无耻混蛋，史密斯夫妇，本杰明巴顿奇事，夜访吸血鬼，生命之树,射手座,1993年威尼斯国际电影节影帝、2007年威尼斯国际电影节影帝、2008年奥斯卡最佳男主角提名、2011年奥斯卡最佳男主角提名、1994年金球奖最佳男主角提名、、1995年金球奖最佳男配角奖,180cm,actor
p37,张丰毅,中国电影演员,1956年（丙申年）9月1日,"Zhang,Feng yi",中国,湖南省长沙市,骆驼祥子、人民的名义、赤壁、和平年代、历史的天空、霸王别姬、武媚娘传奇、白鹿原、长沙保卫战,处女座,第二十届中国戏剧梅花奖第二届童牛奖最佳成人表演奖、第17届中国电视剧飞天奖优秀男演员奖、第8届澳门国际电视节最佳男演员奖,null,actor
p38,格利高里·派克,演员,1916年4月5日,Gregory Peck,美国,美国，加利福尼亚州，拉霍亚,罗马假日、杀死一只知更鸟、爱德华大夫、乞力马扎罗的雪、鹿苑长春、凶兆,白羊座,奥斯卡最佳男主角、金球奖最佳男主角、美国电影学院终身成就奖、戛纳国际电影节终身成就奖、柏林国际电影节终身成就奖、、肯尼迪中心表演艺术奖和自由勋章、琼·赫肖尔特人道主义奖、美国电影艺术与科学学院主席、美国电影学院主席、美国电影协会主席、AFI百年百大演员,191cm,actor
p39,约瑟夫·高登-莱维特,演员、导演、编剧、制片,1981年2月17日,Joseph Gordon-Levitt,美国,"美国,加利福尼亚州,洛杉矶",和莎莫的500天、盗梦空间、蝙蝠侠：黑暗骑士崛起,水瓶座,美国电影金球奖最佳男主角提名、第1届青少年选择奖最佳TV男演员,176cm,actor
p40,克里斯托弗·普卢默,演员，制作人,1929年12月13日,Christopher Plummer,加拿大,加拿大安大略省多伦多,音乐之声，时光倒流七十年，荆棘鸟，惊爆内幕，最后一站，飞屋环游记，初学者,射手座,第84届奥斯卡最佳男配角奖、第69届美国金球奖最佳男配角奖、第65届英国电影学院奖最佳男配角奖、第29届艾美奖迷你剧最佳男主角奖,null,actor
p41,劳拉·琳妮,演员/制作人,1964年2月5日,Laura Linney,美国,美国纽约,约翰·亚当斯，如果还有明天,水瓶,null,1.70米,actor
p42,乔丹·长井,null,null,null,null,null,null,null,null,null,actor
p43,梁家辉,演员,1958年2月1日,Tony Leung Ka Fai,中国,中国香港,智取威虎山、寒战、长恨歌、黑社会、情人、爱在别乡的季节、92黑玫瑰对黑玫瑰、了不起的爸爸,水瓶座,四届香港电影金像奖最佳男主角奖、第27届台湾电影金马奖最佳男主角、第14届香港电影评论学会奖最佳男演员、第44届台湾电影金马奖最佳男配角   、第23届香港电影金像奖最佳男配角、、两届华语电影传媒大奖最佳男主角等,178cm,actor
p44,金·凯瑞,演员、编剧、制作人,1962年1月17日,Jim Carrey,加拿大/美国,加拿大安大略省纽马克特,楚门的世界、变相怪杰、冒牌天神、新抢钱夫妻,摩羯座,1998年金球奖最佳戏剧男演员、1999年金球奖最佳男主角、2006年获得“MTV世代奖”,null,actor
p45,周润发,演员,1955年（乙未年）5月18日（闰三月二十七）,Chow Yun Fat,中国,香港南丫岛,监狱风云、龙虎风云、上海滩、英雄本色、赌神、喋血双雄、纵横四海、秋天的童话、卧虎藏龙、无双,金牛座,三届香港电影金像奖最佳男主角、两届台湾电影金马奖最佳男主角、中国电影华表奖优秀境外华裔男演员奖、上海国际电影节华语电影杰出贡献奖、美国电影协会亚洲杰出演员奖、、法国杜维尔电影节终身成就奖、AZN亚洲卓越大奖终身成就奖奋斗经历被列入启思中学语文课本、香港特区政府颁发银紫荆星章、第30届亚太影展最佳男主角、两届美国亚裔艾美奖最佳男主角、香港演艺学院授予“荣誉院士”、城市大学授予荣誉文学博士学位、中国电影百年百位优秀演员,182cm,actor
p46,平采娜·乐维瑟派布恩,演员,1992年9月30日,พิมพ์ชนก ลือวิเศษไพบูลย์、Pimchanok Luevisadpaibul,泰国,泰国曼谷,初恋这件小事、火之迷恋、亲爱的鬼先生、缤纷之实、英雄少年,天秤座,2010年“TVPool Top Award”最佳新秀女演员奖,166cm,actor
p47,张震,演员、歌手,1976年10月14日,Chang Chen,中国,台湾省台北市,牯岭街少年杀人事件、春光乍泄、卧虎藏龙、最好的时光、吴清源、一代宗师、绣春刀、刺客聂隐娘,天秤座,4次提名台湾电影金马奖最佳男主角、3次提名香港电影金像奖最佳男配角、亚洲电影大奖最佳男演员、大阪电影节最佳男主角,178cm,actor
p48,比利·赞恩,演员，制作人，导演,1966-02-24,Billy Zane,美国,芝加哥,《泰坦尼克号》,双鱼座,null,null,actor
p49,艾玛·沃特森,演员，模特,1990年4月15日,Emma Charlotte Duerre Watson,英国,法国巴黎,哈利·波特、壁花少年、美女与野兽,白羊座,MTV电影奖先锋精神奖、青少年选择奖最佳剧情电影女演员、青少年选择奖最佳夏日电影女星,165cm,actor
p50,张柏芝,演员、歌手,1980年5月24日,Cecilia Cheung,null,中国香港,星语心愿、喜剧之王、蜀山传、河东狮吼、浪漫樱花、忘不了、大只佬、旺角黑夜、无极,双子座,十大劲歌金曲最受欢迎新人金奖、十大中文金曲最有前途新人金奖、第19届香港电影金像奖最佳新演员、第23届香港电影金像奖最佳女主角、香港电影评论学会最佳女演员奖、香港电影金紫荆奖最佳女主角、金太阳电影大赏最佳女演员、韩国电影大钟奖最佳女主角奖提名、纽约中国电影节亚洲杰出艺人,165cm,actor
p51,姜宏波,演员,1973年1月18日,BoBo,中国,黑龙江省齐齐哈尔市,《钢铁年代》《鬼子来了》《永远的田野》,摩羯座,2011年获得华鼎奖都市类最佳女演员奖项。 2013年度最具气质影响力赏奖。 电影频道传媒大奖最受传媒关注女主角奖,173厘米,actor
p52,入野自由,演员、声优、歌手,1988年2月19日,入野 自由（いりの みゆ，Irino Miyu）,日本,日本东京都,千与千寻、机动战士高达00、我们仍未知道那天所看见的花的名字、少年同盟、排球少年！！、阿松,双鱼座,null,170cm,actor
p53,刘嘉玲,演员、歌手,1965年12月8日,Carina Lau,中国,江苏苏州,自梳、阿飞正传、海上花、好奇害死猫、狄仁杰系列、无间道系列,射手座,第30届香港电影金像奖最佳女主角、第26届中国电影金鸡奖最佳女主角、法国南特三大洲电影节最佳女主角、第3届香港电影金紫荆奖最佳女主角、第9届大阪亚洲影展最佳女主角、、左岸名庄骑士荣誉会员,167cm,actor
p54,李来,null,1987-02-08,null,中国,辽宁大连人,null,null,null,185cm,actor
p55,柊瑠美,声优,1987年8月1日,ひいらぎ るみ,日本,东京都葛饰区,《从天而降的3亿2千万》 《千与千寻》,null,null,155cm,actor
p56,雅克·贝汉,演员、制作人、导演、编剧,1941年7月13日,Jacques Perrin,法国,法国巴黎,放牛班的春天、迁徙的鸟、海洋,巨蟹座,第31届威尼斯电影节沃尔皮杯-最佳男演员,null,actor
p57,摩根·弗里曼,演员，制片人，导演,1937年6月1日,Morgan Freeman,美国,美国田纳西州的孟菲斯,《七宗罪》、《冒牌天神》、《肖申克的救赎》、《遗愿清单》,null,第77届奥斯卡最佳男配角奖、美国电影学院终身成就奖,189cm,actor
p58,丹尼尔·雷德克里夫,演员/制片,1989年7月23日,Daniel Jacob Radcliffe,英国,伦敦,《哈利·波特》系列,狮子座,null,165cm,actor
p59,普路特·泰勒·文斯,演员,1960年7月5日,Pruitt Taylor Vince,美国,"美国,路易斯安那州,巴吞鲁日",《不法之徒》、《海上钢琴师》、《刺杀肯尼迪》、《唐·麦凯》,null,第49届艾美奖(1997) - 剧情类剧集-剧情类剧集最佳客座男演员。,null,actor
p60,加里·奥德曼,演员、导演,1958年3月21日,Gary Oldman,英国,英国伦敦,席德与南茜、这个杀手不太冷、切勿吞食、至暗时刻、锅匠，裁缝，士兵，间谍,白羊座,第90届奥斯卡金像奖最佳男主角奖、第84届奥斯卡金像奖最佳男主角奖（提名）,174cm,actor
p61,希斯·莱杰,演员,1979年4月4日,Heath Ledger,澳大利亚,澳大利亚珀斯,《断背山》、《蝙蝠侠：黑暗骑士》,白羊座,第81届奥斯卡金像奖最佳男配角奖、第78届奥斯卡金像奖最佳男主角提名、第66届美国电影电视金球奖最佳男配角奖、第62届英国电影学院奖最佳男配角奖,185cm,actor
p62,尊龙,演员,1952年10月13日,John Lone,美国,香港,末代皇帝、龙年、蝴蝶君、冰人四万年,天秤座,第43届金球奖最佳电影男配角奖（提名）、第45届金球奖最佳剧情电影男主角奖（提名）、第26届台湾电影金马奖特别奖、第11届卡普里好莱坞国际电影节终身成就奖、美国华人博物馆传承大奖、、第4届独立精神奖最佳男配角奖（提名）,172cm,actor
p63,约翰·C·赖利,演员、编剧、制片人,1965年5月24日,John Christopher Reilly,美国,"美国,伊利诺伊州,芝加哥",《泰瑞》,双子座,null,null,actor
p64,连姆·尼森,演员,1952年6月7日,Liam Neeson,爱尔兰,北爱尔兰巴利米纳,辛德勒的名单，飓风营救，金赛性学教授，傲气盖天,双子座,第66届奥斯卡最佳男主角提名、第53届威尼斯国际电影节最佳男演员、1993年百老汇托尼奖提名、2002年获英女王颁发OBE杰出勋章,193cm,actor
p65,汤姆·塞兹摩尔,演员,1961年11月29日,Tom Sizemore,美国,底特律,拯救大兵瑞恩,射手座,null,null,actor
p66,薇诺娜·瑞德,演员,1971年10月29日,Winona Ryder,美国,美国明尼苏达州威诺纳,《剪刀手爱德华》《惊情四百年》《纯真年代》《小妇人》《怪奇物语》,天蝎座,第66届奥斯卡奖最佳女配角提名、第67届奥斯卡奖最佳女主角提名、第48届金球奖最佳女配角提名、第51届金球奖最佳女配角获奖、第74届金球奖剧情类剧集最佳女主角提名,163cm,actor
p67,乌尔里希·穆埃,演员,1953年6月20日,Ulrich Mühe,德国,null,《窃听风暴》《间谍佐尔格》、《见证人》:《拜见希特勒》等。,null,《窃听风暴》获奥斯卡最佳外语奖,null,actor
p68,周冬雨,演员,1992年1月31日,Zhou Dongyu,中国,河北省石家庄市,山楂树之恋、七月与安生、同桌的你、喜欢你、后来的我们,水瓶座,第53届台湾电影金马奖最佳女主角、第23届香港电影评论学会大奖最佳女主角、第2届金砖国家电影节最佳女主角、第31届中国电影金鸡奖最佳女主角提名、第36届香港电影金像奖最佳女主角提名、、第8届澳门国际电影节最佳女主角、第14届中国电影华表奖优秀新人女演员、第56届西班牙巴利亚多利德国际电影节最佳女演员、第9届中国电影导演协会年度女演员奖,162cm,actor
p69,马龙·白兰度,演员,1924年4月3日,Marlon Brando,美国,美国，内布拉斯加州，奥马哈市,教父、码头风云、现代启示录、欲望号街车、叛舰喋血记、巴黎最后的探戈,白羊座,第27届奥斯卡金像奖最佳男主角奖、第45届奥斯卡金像奖最佳男主角奖、第5届戛纳国际电影节最佳男演员奖、两届美国电影金球奖最佳男主角奖、三届英国电影学院奖最佳外国男演员奖,178CM,actor
p70,彼得·奥图尔,演员,1932年8月2日,Peter Seamus Lorcan O'Toole,爱尔兰,爱尔兰高维郡？、英国西约克郡？,阿拉伯的劳伦斯、末代皇帝、特洛伊等,狮子座,奥斯卡终身成就奖、金球奖最佳男主角、美国影评人协会奖最佳男主角、美国国家评论协会奖最佳男主角、英国学院奖最佳英国男主角、、意大利电影金像奖最佳外国男演员、意大利电影金像奖最佳男配角、艾美奖最佳男配角,188cm,actor
p71,春川真澄,女演员,1935年11月16日,春川 ますみ,日本,日本栃木县宇都宫市,null,null,null,null,actor
p72,帕特里克·麦高汉,演员 / 导演 / 制片 / 编剧,1928-03-19,Patrick Joseph McGoohan,美国,null,《勇敢的心》《星银岛》,null,null,null,actor
p73,大卫·休里斯,演员/导演/编剧,1963年3月20日,David Thewlis,英国,英国布莱克,《哈里·波特与阿兹卡班的囚徒》、《赤裸》,双鱼座,null,191公分,actor
p74,姜文,演员、导演、编剧,1963年1月5日,Jiang Wen,中国,河北唐山,芙蓉镇、阳光灿烂的日子、鬼子来了、太阳照常升起、让子弹飞、红高粱、北京人在纽约、邪不压正,摩羯座,戛纳国际电影节评审团大奖、台湾电影金马奖最佳导演、大众电影百花奖最佳男演员、中国电视金鹰奖最佳男演员、香港电影金像奖最佳男配角、中国电影导演协会年度导演、上海国际电影节华语电影杰出贡献奖  、“2017年奥斯卡”新成员,183cm,actor
p75,甄子丹,导演、演员、动作指导,1963年（癸卯年）7月27日,Donnie Yen,中国,中国广东省广州市越秀区,叶问、导火线、追龙、精武门、皇家师姐IV直击证人、武侠、关云长、西游记之大闹天宫,null,三届台湾电影金马奖最佳动作设计奖、四届香港电影金像奖最佳动作设计奖、第13届中国电影华表奖优秀境外华裔男演员、第03届澳门国际电影节最佳男主角、第16届北京大学生电影节最佳男主角、、第15届华鼎奖中国最佳电影男演员、第02届铁象电影大赏最佳男主角、全球华语榜中榜亚洲影响力演员、2009年最具风格港台地区影视男演员,175cm,actor
p76,罗素·克洛,演员、导演、制片,1964年4月7日,Russell Crowe,新西兰,"新西兰,北岛,惠灵顿",角斗士、惊爆内幕、铁拳男人、美丽心灵 、危情三日、罗宾汉、悲惨世界,null,第73届奥斯卡金像奖最佳男主角、第59届金球奖最佳男主角,182cm,actor
p77,黄秋生,演员,1961年9月2日,Anthony Perry,中国,香港,《八仙饭店之人肉叉烧包》《伊波拉病毒》《野兽刑警》等,处女座,三届香港电影金像奖最佳男主角、两届香港电影金紫荆奖最佳男主角、三届香港电影评论学会大奖最佳男主角、两届香港电影金像奖最佳男配角、三届台湾电影金马奖最佳男配角,180cm,actor
p78,马修·布罗德里克,演员,1962年3月21日,Matthew Broderick,美国,美国纽约,《狮子王》系列、《王牌特派员》、《哥斯拉》、《超级女绑匪》、《窈窕疯人院》,null,05年好莱坞电影节最佳男演员奖、87年金球奖最佳男主角(提名)、84年土星奖最佳男演员(提名),173cm,actor
p79,萨拉·西尔弗曼,演员 / 制片 / 编剧 / 作曲,1970年12月1日,Sarah Silverman,美国,"美国,新罕布什尔州","无敌破坏王,跳支华尔兹,赌城圣约翰",射手座,null,170cm,actor
p80,拉塞尔·布兰德,滑稽表演家/演员/歌手/作家,1975年6月4日,Russell Brand,英国,英国埃塞克斯郡,忘掉莎拉·马歇尔,双子座,null,188 cm,actor
p81,莫文蔚,作词人、作曲人、音乐制作人、歌手、演员,1970年6月2日,Karen Mok,英国,中国香港,喜剧之王、如果没有你、盛夏的果实、忽然之间、食神、他不爱我、电台情歌、阴天、寂寞的恋人啊,双子座,香港电影金像奖最佳女配角、MTV亚洲大奖启发精神奖、CCTV-MTV音乐盛典最佳女歌手、两届台湾金曲奖最佳国语女歌手,167cm,actor
p82,佐伊·索尔达娜,演员,1978年6月19日,Zoe Saldana,美国,"美国,新泽西州",《幸福终点站》、《星际迷航》、《男生女生黑白配》、《阿凡达》、《银河护卫队》,双子座,土星奖最佳女主角、青少年选择奖最佳科幻女演员,170cm,actor
p83,狄龙,演员,1946年8月19日,Tommy Tam,中国,香港,刺马、楚留香、新独臂刀、魔剑侠情、英雄本色、中原镖局,狮子座,1973年金马奖优秀演技特别奖、1979年香港第25届亚太影展男主角、1986年第台湾金马奖最佳男主角、1999年香港金像奖最佳男配角、第12届香港电影金紫荆奖“卓越成就奖”,1.83米,actor
p84,志村乔,演员,1905年3月12日,Takashi Shimura,日本,日本兵库县,《罗生门》、《七武士》、《生之欲》、《白痴》等,双鱼座,null,null,actor
p85,宋在浩,演员,1939年3月10日,송재호,大韩民国,平安南道 平壤,《父母见上书》《明成皇后》,双鱼座,18届百想艺术大赏男子最佳演技赏,165cm,actor
p86,亨利·方达,演员、制片人,1905年5月16日,Henry Fonda,美国,美国，内布拉斯加州，格兰德岛,淑女夏娃、十二怒汉、金色池塘,金牛座,第53届奥斯卡荣誉奖第54届奥斯卡最佳男主角奖第39届金球奖最佳男主角奖,187cm,actor
p87,多姆纳尔·格里森,演员,1983-5-12,Domhnall Gleeson,爱尔兰,都柏林,时空恋旅人、机械姬、荒野猎人,金牛座,第10届爱尔兰电影电视学院奖最佳电影男配角提名,185cm,actor
p88,鲁伯特·格林特,演员,1988年8月24日,Rupert Grint、Rupert Alexander Lloyd Grint,英国,英国伦敦赫特福郡斯蒂夫尼奇,《哈利波特》系列电影、《人生驾驶课》、《樱桃炸弹》,处女座,2001年金卫星奖最佳新人奖、第38届人民选择奖最受欢迎卡司,178cm,actor
p89,奥黛丽·赫本,演员,1929年5月4日,Audrey Hepburn,英国,比利时布鲁塞尔,罗马假日、窈窕淑女、蒂凡尼的早餐、龙凤配、修女传、盲女惊魂记、战争与和平、谜中谜、甜姐儿,金牛座,奥斯卡最佳女主角、托尼奖最佳女主角、英国电影学院奖最佳女主角、美国电影金球奖最佳女主角、美国演员工会奖终身成就奖、艾美奖杰出个人成就奖、格莱美奖最佳儿童读诵专辑、AFI百年来最伟大的女演员第3名,170cm,actor
p90,朱莉·安德鲁斯,演员、歌手、作家、戏剧导演、舞蹈家,1935年10月1日,Julie Andrews、Julie Andrews Edwards,英国,英国萨里郡,《音乐之声》，《公主日记》，《欢乐满人间》,天秤座,金球奖音乐喜剧类最佳女主角、桂冠奖音乐剧表演奖、2001年歌唱家协会终身成就奖、第53届格莱美奖终身成就奖、、1955年世界戏剧奖、第76届威尼斯国际电影节终身成就奖,null,actor
p91,梅尔·吉布森,null,null,Mel Gibson,null,null,null,null,null,null,actor
p92,塞巴斯蒂安·科赫,演员,1962年 5月31日,Sebastian Koch,德国,null,null,双子座,null,180cm,actor
p93,陈强,演员,1918年11月11日,null,中国,河北省邢台市宁晋县徐家河村,留下他打老蒋、白毛女、红色娘子军、瞧这一家子、飞来横福,天蝎座,第1届大众电影百花奖最佳男配角奖、第13届大众电视金鹰奖最佳男配角奖、中国电影世纪奖：男演员奖、第17届金鸡百花电影节暨第29届大众电影百花奖终身成就奖,null,actor
p94,松田洋治,声优、演员,1967年10月19日,null,null,日本福冈,《二重心脏》,null,null,null,actor
p95,罗伯特·德尼罗,演员，导演，制片人,1943年8月17日,Robert De Niro/Robert Mario De Niro Jr.,美国，意大利（双国籍）,"美国,纽约",教父2、出租车司机、美国往事、愤怒的公牛、猎鹿人、盗火线、好家伙、拜见岳父大人系列,狮子座,第53届奥斯卡最佳男主角奖、第47届奥斯卡最佳男配角奖、第50届威尼斯电影节终身成就奖、第38届威尼斯电影节最佳男主角、第38届金球奖最佳男主角、、第68届美国电影电视金球奖终身成就奖,177cm,actor
p96,本·贝尔特,剪辑、演员、导演、编辑,1948年7月12日,Ben Burtt,美国,null,null,null,null,null,actor
p97,严志媛,演员,null,엄지원,韩国,null,null,null,null,null,actor
p98,内山昂辉,声优、演员,1990年8月16日,内山 昂輝（うちやま こうき，Uchiyama Kōki）,日本,埼玉县,噬魂师、机动战士高达UC、绝园的暴风雨、伪恋、甘城辉煌乐园救世主、Charlotte、YURI!!! on ICE,狮子座,2011年第5届声优奖 新人男优奖、2015年东京动画奖“年度最佳动画”声优奖,177cm,actor
p99,蒂姆·罗斯,演员、导演,1961年5月14日,Tim Roth,英国,英国伦敦,《落水狗》《别对我说谎》《海上钢琴师》,金牛座,第37届人民选择奖最受欢迎罪案类剧集执法者,170cm,actor
p100,艾玛·斯通,演员、歌手,1988年11月6日,Emma Stone,美国,美国亚利桑那州斯科茨代尔,绯闻计划、超凡蜘蛛侠、爱乐之城、鸟人,天蝎座,第89届奥斯卡金像奖最佳女主角、第73届威尼斯国际电影节最佳女演员、第74届金球奖音乐喜剧类最佳女主角、第70届英国电影学院奖最佳女主角,168cm,actor
